name,address,website,guide_path
"114, Faubourg","Le Bristol, 114 rue du Faubourg-Saint-Honoré, Paris, 75008, France",https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/114-faubourg/,/france/paris/paris/114Faubourg
1154 Pastaria,"132 Cuba Street, Te Aro, Wellington, 6011, New Zealand",https://www.1154.co.nz,/new-zealand/wellington/wellington/1154Pastaria
116 at the Athenaeum,"116 Piccadilly, Mayfair, London,W1J 7BJ",https://www.afternoontea.co.uk/uk/london/mayfair/116-at-the-athenaeum/,/uk/london/mayfair/116AtTheAthenaeum
11e CAVE,"Kingston Shops, 39 Kennedy St, Kingston ACT 2604, Australia",https://www.onzieme.com.au/11e-cave,/australia/canberra/canberra/11eCave
12 Fountains | Dodici Fontane,"contrada Arrigo, 95015 Linguaglossa CT, Italy",https://www.nerietna.com/12-fontane-ristorante,/italy/linguaglossa/linguaglossa/12FountainsDodiciFontane
12 Ristorante,"via Armellini 12/a, Cesenatico, 47042, Italy",https://www.12ristorante.com,/italy/cesenatico/cesenatico/12Ristorante
12 Tapas,"Párroco Antonio Pastor Portillo 2, Castilleja de la Cuesta, 41950, Spain",https://restaurante12tapas.makro.rest/?lang=en,/spain/castilleja-de-la-cuesta/castilleja-de-la-cuesta/12Tapas
12/10,"GF, 8 Rockwell, Lopez Drive, Rockwell Centre, Makati - Metro Manila, 1210, The Philippines",https://twelveten.ph,/the-philippines/makati-metro-manila/makati-metro-manila/1210
1215,"Fairmont Windsor Park, Bishopsgate Road, Englefield Green, Egham, TW20 0YL, United Kingdom",https://www.fairmont-windsorpark.com/restaurant/1215-restaurant,/uk/egham/egham/1215
1215 Restaurant,"Bishopsgate Rd, Englefield Green, Windsor TW20 0YL, UK",https://www.fairmont-windsorpark.com/restaurant/1215-restaurant,/uk/windsor/windsor/1215Restaurant
1217,"Château de Bagnols, Le Bourg, Bagnols, 69620, France",https://www.chateaudebagnols.com,/france/bagnols/bagnols/1217
124. KAGURAZAKA,"3F, 12-4 Wakamiyacho, Shinjuku-ku, Tokyo, 162-0827, Japan",https://124-kagurazaka.com/en,/japan/tokyo/tokyo/124Kagurazaka
13 Comuni,"piazza della Vittoria 31, Velo Veronese, 37030, Italy",https://www.13comuni.it/it/,/italy/velo-veronese/velo-veronese/13Comuni
132 Vintage,"132 Rue Fleury Ouest, Ahuntsic, Montreal, Quebec, QC H3L 1T4",https://www.le132.com/,/canada/montreal/montreal/132Vintage
136,"Linienstraße 136, Berlin, 10115, Germany",https://136-berlin.com/,/germany/berlin/berlin/136
13C Bar in the back,"Arar St 129, Amman, Jordan",https://13c.wine,/jordan/amman/amman/13cBarInTheBack
14 Avenue,"14 avenue Pavie, La Baule, 44500, France",https://14avenue-labaule.com/,/france/la-baule/la-baule/14Avenue
14 de la Rosa,"C. de Martínez de la Rosa, Vila de Gràcia, Barcelona, Catalonia, 08012",http://14delarosa.com/,/spain/barcelona/barcelona/14DeLaRosa
144 On The Hill at Richmond Hill Hotel,"144-148 Richmond Hill, Richmond ,TW10 6RW",https://www.afternoontea.co.uk/uk/london/west-london/144-on-the-hill-at-richmond-hill-hotel/,/uk/london/west-london/144OnTheHillAtRichmondHillHotel
144.,"San Antonio 33, Vitoria-Gasteiz, 01005, Spain",https://www.cientocuarentaycuatro.com/,/spain/vitoria-gasteiz/vitoria-gasteiz/144
14Horses,"Dominikonų Gatvė 11, Vilnius, 01131, Lithuania",https://14horses.lt/,/lithuania/vilnius/vilnius/14horses
1515 West Chophouse,"4F, Jing An Shangri-La Hotel, 1218 Middle Yan'an Road, Jingan, Shanghai, China Mainland",https://www.shangri-la.com/shanghai/jinganshangrila/dining/restaurants/the-1515-west-chophouse-and-bar/,/china/shanghai/shanghai/1515WestChophouse
1515 West Chophouse & Bar,"Level 4,1218 Middle Yan'an Road, Jing An Kerry Centre, West Nanjing Road, Shanghai, China",https://www.shangri-la.com/shanghai/jinganshangrila/dining/restaurants/the-1515-west-chophouse-and-bar,/china/shanghai/shanghai/1515WestChophouseBar
156 Cumberland,"156 Cumberland St., Toronto, M5R 1A8, Canada",https://www.156cumberland.com/,/canada/toronto/toronto/RRcumberland
1565 Bar & Terrace,"Level 4, Park Regis Birmingham, 160 Broad St,B15 1DT",https://www.afternoontea.co.uk/uk/west-midlands/birmingham/park-regis-birmingham-1565-bar-terrace/,/uk/west-midlands/birmingham/1565BarTerrace
157 Shi Fang,"Unit 101-102, Building T10, IM Shanghai, 1398 Kaixuan Road, Changning, Shanghai, Chinese Mainland",,/chinese-mainland/shanghai/shanghai/157ShiFang
1570 - CASUAL FINE DINING,"Schwöbber 9, Aerzen, 31855, Germany",https://www.schlosshotel-muenchhausen.com/restaurants/1570-casual-fine-dining/,/germany/aerzen/aerzen/1570CasualFineDining
1587 Prime,"1500 Baltimore Ave, Kansas City, MO 64108",https://1587prime.com,/usa/missouri/kansas-city/1587Prime
16 ART-BAR-RESTAURANT,"Mittelgässli 16, Saanen, 3792, Switzerland",https://www.16eme.ch/,/switzerland/saanen/saanen/16Artbarrestaurant
1610 at The Globe Inn,"56 High Street, Dumfries, DG1 2JA, United Kingdom",https://www.globeinndumfries.co.uk,/uk/dumfries/dumfries/1610AtTheGlobeInn
1638 Restaurant by Nacho Manzano,"Rua Barão De Forrester 69, Vila Nova de Gaia, 4400-034, Portugal",https://www.tivolihotels.com/en/tivoli-kopke-porto-gaia/restaurants/1638-restaurant-wine-bar,/portugal/vila-nova-de-gaia/vila-nova-de-gaia/1638RestaurantByNachoManzano
167 Shan Hai Li,"2F, Zhongfu Plaza, 92 Dong Street, Gulou, Fuzhou, China Mainland",https://guide.michelin.com/en/fujian-province/fuzhou_1026814/restaurant/167-shan-hai-li,/china/fuzhou/fuzhou/167ShanHaiLi
1688 Resto,"Austria 1688, Asuncion, 001409",https://www.instagram.com/1688resto/,/paraguay/asuncion/asuncion/1688Resto
16âme,"32 rue des Glaciers, Le Monêtier-les-Bains, 05220, France",https://www.16ame.fr,/france/le-montier-les-bains/le-montier-les-bains/16me
1700 Degrees Steakhouse,"One N 2nd St, Harrisburg, PA 17101",https://1700restaurant.com,/usa/pennsylvania/harrisburg/1700DegreesSteakhouse
1741,"22 quai des Bateliers, Strasbourg, 67000, France",https://www.1741.fr/fr/Restaurant/,/france/strasbourg/strasbourg/1741
1742,"Major 3, Eivissa, 07800, Spain",https://1742ibiza.com/,/spain/eivissa/eivissa/1742
177 toledo,"via Toledo 177, Naples, 80134, Italy",https://www.giuseppeiannotti.it/177-toledo/,/italy/naples/naples/177Toledo
1776 Restaurant,"397 W Virginia St, Crystal Lake, IL 60014",https://1776restaurant.com,/usa/illinois/chicago/1776Restaurant
